ID,lat,long,Coll,Separate_lineage,Amikacin,Capreomycin,Drug_Resistance,Pyrazinamide,Ethambutol,Isoniazid,Kanamycin,Ethionamide,Fluoroquinolones,Rifampicin,Streptomycin,Phenotype,date
TB1507,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/07/01
TB1508,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/08/01
TB1509,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/08/01
TB1510,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/02/01
TB1513,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/12/01
TB1514,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/04/01
TB1515,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/11/01
TB1516,1.3651885,32.3046505,lineage4.9,lineage4,0,0,1,0,0,0,0,0,0,1,0,RR,2005/01/01
TB1517,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2006/11/01
TB1518,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2005/10/01
TB1520,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/07/01
TB1524,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2006/01/01
TB1526,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/04/01
TB1527,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2006/02/01
TB1530,1.3651885,32.3046505,lineage4.9,lineage4,0,0,0,0,0,0,0,0,0,0,0,Susceptible,2004/12/01
